DMA_CONDITION,DMA_NAME,GP,GR,FP,FR,WebSales,WebOrders,POPN
1,"Anchorage, AK",19.59455579,7.345317601,14.55340443,3.867916378,6037.705273,5.506963069,142000
1,"Buffalo, NY",81.17625435,29.0852839,4.693042194,66.62894165,21933.21593,24.34657357,586930
1,"Denver, CO",267.7198635,132.6169535,16.80489395,390.9969911,110983.4912,126.6601506,1585270
1,"El Paso, TX",39.15995671,11.15626518,6.799653017,38.37561712,10357.85301,11.98006001,338770
1,"Lafayette, LA",21.27111208,12.28198435,2.726689458,20.47153323,10136.43704,8.018911135,216420
1,"Las Vegas, NV",124.7375965,77.0088229,8.038888287,134.9194418,43554.05588,42.02682342,766500
1,"Peoria-Bloomington, IL",28.9902082,11.65798657,2.376972282,29.6419209,5729.27732,9.178271782,234050
1,"Twin Falls, ID",9.351946536,3.06564385,1.044538952,14.4613719,5227.196414,5.023896133,59990
1,"Wheeling, WV-Steubenville, OH",13.77413501,1.860347977,1.342582971,9.21348343,4372.989996,4.830669359,113690
1,"Wichita-Hutchinson, KS",49.70407671,45.36507046,7.288703421,63.29732524,18236.30232,22.31769244,382780
10,"Abilene-Sweetwater, TX",9.396921056,51.46288082,1.642472554,251.7213025,3289.518402,4.830669359,104440
10,"Biloxi-Gulfport, MS",12.52586263,65.82668617,2.118605292,184.3319204,4556.444402,5.12050952,122100
10,"Chattanooga, TN",40.94333409,202.1353899,4.210450945,540.3348934,14277.16661,15.74798211,341190
10,"Dayton, OH",51.87073098,335.8561189,4.514032029,977.965221,19395.54177,22.41430582,463430
10,"Eugene, OR",29.83462775,160.8499971,2.546756095,449.6948071,11476.45263,12.94619388,215070
10,"Greenville-New Bern-Washington, NC",36.56356521,139.4698222,2.764521659,449.7628843,8847.754142,10.43424581,261830
10,"Memphis, TN",71.93937172,383.2548686,7.18720221,761.7467175,13868.67346,16.23104905,623390
10,"Meridian, MS",3.21797277,12.3613065,0.703125852,40.29379748,1843.685997,1.449200808,59030
10,"Oklahoma City, OK",83.44241943,456.196044,9.333489692,1516.931714,33696.11727,36.1334068,676720
10,"Orlando-Daytona Beach-Melbourne, FL",268.335576,1475.66846,11.08115367,2962.114687,76445.26338,78.83652393,1565890
10,"Parkersburg, WV",4.091763437,36.30439935,0.716967271,93.17870813,1923.712434,2.608561454,53750
11,"Albany-Schenectady-Troy, NY",286.303624,356.1551504,4.287960821,62.53025679,20512.0438,23.18721292,520540
11,"Baltimore, MD",535.9254003,782.9492917,5.702516417,165.7354408,52189.66186,62.41224811,1084180
11,"Billings, MT",49.89317079,85.01211346,1.559426628,22.79668355,5715.238239,6.279870166,100330
11,"Burlington, VT-Plattsburgh, NY",156.5140364,249.2003756,3.029347343,37.13644292,13157.80716,15.36152856,294260
11,"Green Bay-Appleton, WI",176.380322,260.3247545,4.024058888,54.89306169,14244.8804,18.16331679,421480
11,"Johnstown-Altoona, PA",137.9833512,197.6143509,2.387122108,24.36627076,8551.62876,11.88344662,262840
11,"La Crosse-Eau Claire, WI",103.4978285,192.2392281,1.992190653,30.29025186,7834.918971,10.43424581,186870
11,"Laredo, TX",22.1045495,34.64769495,3.528547389,5.618486683,2449.985029,2.415334679,70220
11,"Odessa-Midland, TX",67.55651282,121.0871604,2.935227194,36.28604621,9039.753276,11.3037663,150430
11,"Sacramento-Stockton-Modesto, CA",1011.789568,1179.532628,11.25739691,205.9804208,64133.94666,73.0397207,1357690
12,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",112.038421,989.1279581,983.5681777,764.9997286,39723.78019,43.669251,805920
12,"Lafayette, IN",92.5095259,120.9932402,0.785249595,72.56451955,4359.483812,5.12050952,63660
12,"Little Rock-Pine Bluff, AR",332.8098216,498.3162304,6.527445716,360.0320824,13113.81375,17.87347663,527090
12,"Madison, WI",554.1807834,680.8867864,3.200975615,438.7551731,21346.43196,24.92625389,338240
12,"Minneapolis-St. Paul, MN",2500.262785,3298.234334,14.00254221,2283.476815,90216.30182,110.6223283,1713310
12,"Monterey-Salinas, CA",284.5114369,289.7131052,2.054936281,171.1089901,12589.99156,15.8445955,206300
12,"Savannah, GA",250.9481176,368.0668336,3.570071183,281.425769,14071.00896,14.87846162,303390
12,"Sioux Falls(Mitchell), SD",218.4357189,285.7545106,3.337541187,281.9342684,12802.94274,13.13942066,231540
12,"Topeka, KS",154.0186534,232.4754349,2.467400101,205.4951062,9288.781583,9.56472533,151860
12,"Yuma, AZ-El Centro, CA",87.90751562,114.1645677,2.866945515,74.39075743,2719.704442,3.574695325,101040
13,"Binghamton, NY",12.97071479,150.9109553,143.2001782,120.7637219,5600.297856,5.410349682,115960
13,"Davenport,IA-Rock Island-Moline,IL",29.9293306,322.0246238,382.6831586,307.7668026,7615.521578,9.854565492,280420
13,"Greensboro-High Point-Winston Salem, NC",86.08949115,702.4193864,649.628511,478.8728716,21304.08502,22.22107905,675130
13,"Idaho Falls-Pocatello, ID",19.47048257,256.356235,424.3141637,309.934819,10024.52866,15.26491517,115750
13,"Jackson, TN",8.948093707,61.86977493,84.49024356,62.36849057,2890.056931,3.284855164,83010
13,"Los Angeles, CA",790.0206252,8464.45281,8768.282076,5476.439788,299289.761,351.8659561,5276600
13,"Medford-Klamath Falls, OR",17.84284011,225.4715839,269.5558515,155.8125241,7067.67584,8.501978071,156520
13,"Tulsa, OK",62.60681049,724.4168508,719.1298766,473.9142028,19686.40342,23.76689324,508550
13,"Tyler-Longview(Lufkin & Nacogdoches), TX",26.83234911,286.0101945,332.415279,217.525979,8932.071319,11.3037663,232180
13,"West Palm Beach-Ft. Pierce, FL",720.6516182,809.414851,859.130861,579.4763122,27738.48988,34.20113906,829880
14,"Alpena, MI",4.312621095,24.58777582,17.38617704,2.064677016,598.4066428,0.869520485,14430
14,"Bluefield-Beckley-Oak Hill, WV",33.97679129,124.4677333,99.11004415,7.323099014,1390.778626,1.835654356,109900
14,"Cheyenne, WY-Scottsbluff, NE",34.5090929,115.0791095,137.7135935,0.001915291,4524.884033,4.250989036,51200
14,"Dallas-Ft. Worth, TX",2227.682204,7183.877717,4590.945296,440.5224703,125179.7604,164.0495314,2622070
14,"Duluth, MN-Superior, WI",68.22931823,228.7495318,288.317801,18.61083754,6459.300347,7.729070974,148870
14,"Evansville, IN",87.3170178,298.0075979,317.4965383,27.6777839,6791.313589,9.757952105,265790
14,"Flint-Saginaw-Bay City, MI",172.9232261,617.2430246,567.2264674,47.05090445,13095.48577,14.39539469,430660
14,"Fresno-Visalia, CA",258.1055768,847.7800116,723.1761861,56.95870363,19143.09098,21.64139873,568920
14,"Milwaukee, WI",459.002826,1597.888844,1273.601418,113.6032446,34711.90358,42.2200502,848420
14,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",98.43841668,380.9633591,359.528983,28.30218283,11709.54915,12.46312695,324020
14,"Wausau-Rhinelander, WI",70.3744019,253.2953961,276.3213371,19.97547304,6760.58013,8.21213791,157180
15,"Albany, GA",57.24280289,144.1877015,93.73326465,135.3408427,2693.702741,2.608561454,130950
15,"Baton Rouge, LA",185.5859901,391.633355,350.4280033,531.8893988,12557.52619,14.68523485,287430
15,"Beaumont-Port Arthur, TX",91.49758994,169.3976899,242.3803388,344.5369553,7176.203082,8.21213791,152710
15,"Birmingham, AL",598.1921574,1112.37819,716.3228961,1029.308457,22797.06962,27.72804212,679550
15,"Charlotte, NC",1527.989944,2682.627388,1549.005371,2354.135029,47981.92232,59.03077956,1129900
15,"Columbia, SC",258.8936243,532.8202931,372.7471278,540.8816688,13240.58077,12.65635372,389590
15,"Detroit, MI",2615.091729,4404.739957,2516.30208,3733.309885,86518.91504,100.4779227,1777240
15,"Eureka, CA",57.45469106,124.4637618,100.7552983,114.020772,2858.643568,2.801788228,53630
15,"Lubbock, TX",113.5950439,228.2750928,303.6729914,424.5050794,7464.748462,9.757952105,150270
15,"Tri-Cities, TN-VA",210.0465823,456.3146059,297.9658874,486.3956093,9622.788595,10.91731275,266110
16,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",44.90751675,30.01825743,1160.13141,733.6995182,15911.05655,21.0617184,330340
16,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",35.33476781,9.245453928,988.2084393,557.9288796,12165.12101,16.90734276,272240
16,"Gainesville, FL",15.4824457,6.193396344,372.2690572,201.0467366,4936.547009,6.473096941,120580
16,"Hattiesburg-Laurel, MS",6.362517753,3.490699882,186.9959059,78.136048,2045.222151,2.705174841,99680
16,"Helena, MT",3.182176724,5.461678882,122.208864,60.78452336,1549.168494,2.028881131,26440
16,"Houston, TX",314.1578467,139.2420416,6837.440697,3644.917669,95078.37096,117.5784922,2423360
16,"Mankato, MN",5.385010337,5.411215609,216.2918153,141.0589865,2943.622273,3.188241777,47370
16,"New Orleans, LA",82.31581762,36.12323504,1588.564536,840.4106927,28174.22143,33.04177841,624020
16,"Salisbury, MD",19.30049384,6.306938709,381.259223,213.1570787,3821.138343,4.347602423,152980
16,"San Antonio, TX",153.3117502,53.13801452,3155.52711,1809.493294,41499.62471,52.65429601,923990
16,"Wilkes Barre-Scranton, PA",57.54134265,29.19106268,1483.058987,929.9991422,19372.03917,26.56868147,481390
17,"Charleston-Huntington, WV",125.0471869,21.4310315,918.2844242,704.7505429,9778.918245,14.2987813,402140
17,"Charlottesville, VA",84.23102486,7.379283266,254.3407326,150.297325,4304.40247,5.700189843,71370
17,"Fairbanks, AK",25.41700116,0.573534509,303.0353997,128.5253037,2908.680764,2.801788228,32880
17,"Fargo-Valley City, ND",109.0951653,13.14859402,1085.450857,734.3676948,11791.76231,13.71910098,228740
17,"Jackson, MS",89.25230717,11.55067865,507.4293618,318.3340634,6360.259592,8.598591459,306770
17,"Joplin, MO-Pittsburg, KS",49.35731655,15.16324316,382.479158,291.0641619,5577.236277,5.023896133,129600
17,"Lake Charles, LA",26.84238622,3.955544265,278.0274015,181.1583245,5736.829757,5.603576456,90570
17,"Monroe, LA-El Dorado, AR",32.26042108,10.96217567,332.821225,210.0791292,5248.66849,4.830669359,156410
17,"Norfolk-Portsmouth-Newport News,VA",412.7206796,56.6566696,2629.374423,1606.41004,34638.68077,36.42324696,678210
17,"Phoenix, AZ",1525.344361,140.2177548,7015.967538,4668.052939,92051.45228,110.8155551,1864420
17,"Pittsburgh, PA",564.2830863,62.14488692,2988.663923,2398.945909,49965.47083,62.89531505,1108780
18,"Albuquerque-Santa Fe, NM",668.9302178,47.38404314,2044.266615,84.50912272,30909.9771,35.74695325,650890
18,"Boise, ID",559.3290058,27.58109018,1515.007054,67.39316714,25427.523,29.3704697,273500
18,"Chicago, IL",3127.704332,263.0876079,9473.262143,418.1768048,122730.6794,168.9768142,3251370
18,"Columbus, OH",1174.886441,108.8783938,3117.42615,151.2999165,60971.2697,64.82758279,889600
18,"Harrisonburg, VA",74.26798759,5.73728599,228.2771882,13.10534573,3333.464033,4.830669359,84950
18,"Jonesboro, AR",47.65014345,4.017652909,192.4363536,3.88228575,1859.645345,2.318721292,75220
18,"Lexington, KY,Kentucky",385.6613219,36.27938956,1197.544599,51.25973998,19496.9576,21.73801211,464340
18,"Lincoln & Hastings-Kearney, NE",259.8356193,23.26604332,1107.821666,53.66629475,18262.92421,21.15833179,240660
18,"North Platte, NE",10.84575657,2.864761205,52.12714351,1.51020238,255.7905871,0.869520485,12830
18,"Rockford, IL",130.4310938,7.748053339,474.4130255,23.76965083,7401.370464,8.598591459,152800
18,"Sherman, TX-Ada, OK",71.53764334,9.642366981,357.3023374,15.90261884,3881.83348,5.603576456,118390
19,"Columbia-Jefferson City, MO",158.4569642,233.5165156,521.8665322,333.2695366,9654.450031,9.56472533,156430
19,"Indianapolis, IN",1176.86762,1716.248022,3494.164969,2173.377669,51656.83096,57.19512521,999790
19,"Jacksonville, FL",709.4394759,893.8253016,2202.516355,1239.489537,28194.67365,32.3654847,681330
19,"Marquette, MI",56.19007035,84.3848673,238.2778132,128.5473731,3682.40135,3.284855164,74070
